type,id,x,y,z
corner,NA,-0.210182,-0.296995,0.05002
corner,NA,-0.420037,-0.297029,0.0500095
corner,NA,-0.420002,0.296999,0.0500099
corner,NA,-0.210066,0.296969,0.0500233
spline,0,-0.24553697876514036,-0.26163910871069396,0.05001476716197825
spline,0,-0.25624052975861183,-0.2616416078838783,0.05001476716197825
spline,0,-0.2669440807520833,-0.2616441070570627,0.05001476716197825
spline,0,-0.2776476317455548,-0.26164660623024705,0.05001476716197825
spline,0,-0.28835118273902627,-0.26164910540343145,0.05001476716197825
spline,0,-0.29905473373249775,-0.2616516045766158,0.05001476716197825
spline,0,-0.3097582847259692,-0.2616541037498002,0.05001476716197825
spline,0,-0.3204618357194407,-0.26165660292298454,0.05001476716197825
spline,0,-0.3311653867129122,-0.26165910209616894,0.05001476716197825
spline,0,-0.34186893770638366,-0.2616616012693533,0.05001476716197825
spline,0,-0.35257248869985514,-0.2616641004425377,0.05001476716197825
spline,0,-0.3632760396933266,-0.26166659961572203,0.05001476716197825
spline,0,-0.3739795906867981,-0.26166909878890643,0.05001476716197825
spline,0,-0.38468314168026957,-0.2616715979620908,0.05001476716197825
spline,0,-0.38468314168026957,-0.2616715979620908,0.05000968246170603
spline,0,-0.3846825079114077,-0.25160790688805146,0.05000968246170603
spline,0,-0.3846818741425458,-0.24154421581401217,0.05000968246170603
spline,0,-0.3846812403736839,-0.23148052473997288,0.05000968246170603
spline,0,-0.384680606604822,-0.22141683366593357,0.05000968246170603
spline,0,-0.38467997283596017,-0.21135314259189428,0.05000968246170603
spline,0,-0.3846793390670983,-0.201289451517855,0.05000968246170603
spline,0,-0.3846787052982364,-0.19122576044381567,0.05000968246170603
spline,0,-0.3846780715293745,-0.18116206936977639,0.05000968246170603
spline,0,-0.3846774377605126,-0.1710983782957371,0.05000968246170603
spline,0,-0.3846768039916507,-0.16103468722169778,0.05000968246170603
spline,0,-0.3846761702227888,-0.1509709961476585,0.05000968246170603
spline,0,-0.38467553645392694,-0.14090730507361918,0.05000968246170603
spline,0,-0.3846749026850651,-0.1308436139995799,0.05000968246170603
spline,0,-0.3846742689162032,-0.1207799229255406,0.05000968246170603
spline,0,-0.3846736351473413,-0.11071623185150131,0.05000968246170603
spline,0,-0.38467300137847943,-0.100652540777462,0.05000968246170603
spline,0,-0.38467236760961754,-0.09058884970342268,0.05000968246170603
spline,0,-0.38467173384075565,-0.08052515862938339,0.05000968246170603
spline,0,-0.38467110007189376,-0.0704614675553441,0.05000968246170603
spline,0,-0.38467046630303187,-0.06039777648130479,0.05000968246170603
spline,0,-0.38466983253417,-0.0503340854072655,0.05000968246170603
spline,0,-0.38466919876530814,-0.04027039433322621,0.05000968246170603
spline,0,-0.38466856499644625,-0.030206703259186896,0.05000968246170603
spline,0,-0.38466793122758436,-0.02014301218514758,0.05000968246170603
spline,0,-0.38466729745872247,-0.01007932111110832,0.05000968246170603
spline,0,-0.3846666636898606,-1.5630037069003233e-05,0.05000968246170603
spline,0,-0.3846660299209987,0.010048061036970313,0.05000968246170603
spline,0,-0.3846653961521368,0.020111752111009573,0.05000968246170603
spline,0,-0.3846647623832749,0.03017544318504889,0.05000968246170603
spline,0,-0.384664128614413,0.04023913425908815,0.05000968246170603
spline,0,-0.3846634948455512,0.050302825333127466,0.05000968246170603
spline,0,-0.3846628610766893,0.06036651640716678,0.05000968246170603
spline,0,-0.3846622273078274,0.0704302074812061,0.05000968246170603
spline,0,-0.3846615935389655,0.08049389855524541,0.05000968246170603
spline,0,-0.3846609597701036,0.09055758962928473,0.05000968246170603
spline,0,-0.3846603260012417,0.10062128070332399,0.05000968246170603
